@relation data_308

@attribute Sex {female,male}
@attribute DVRT numeric
@attribute Educational_level {3rd_level_complete,3rd_level_incomplete,Junior_cycle_incomplete-secondary_school,Junior_cycle_incomplete-vocational_school,Junior_cycle_terminal_leaver-secondary_school,Junior_cycle_terminal_leaver-vocational_school,Primary_terminal_leaver,Senior_cycle_incomplete-secondary_school,Senior_cycle_incomplete-vocational_school,Senior_cycle_terminal_leaver-secondary_school}
@attribute Leaving_Certificate {not_taken,taken}
@attribute Prestige_score numeric
@attribute binaryClass {P,N}

@data
male,98,Primary_terminal_leaver,not_taken,28,N
male,101,Junior_cycle_terminal_leaver-secondary_school,not_taken,35,P
male,87,Primary_terminal_leaver,not_taken,43,N
male,97,3rd_level_complete,taken,40,P
male,120,3rd_level_complete,taken,43,P
male,103,Senior_cycle_terminal_leaver-secondary_school,taken,43,P
male,107,Senior_cycle_terminal_leaver-secondary_school,taken,40,P
male,105,Senior_cycle_incomplete-secondary_school,not_taken,57,P
male,99,Senior_cycle_terminal_leaver-secondary_school,taken,37,N
male,103,Senior_cycle_terminal_leaver-secondary_school,taken,28,N
male,101,Junior_cycle_incomplete-secondary_school,not_taken,28,P
female,102,Junior_cycle_terminal_leaver-secondary_school,not_taken,18,P
female,105,Senior_cycle_terminal_leaver-secondary_school,taken,18,N
female,70,Junior_cycle_incomplete-vocational_school,not_taken,18,N
female,101,3rd_level_complete,taken,43,P
female,90,Senior_cycle_terminal_leaver-secondary_school,taken,42,N
female,85,Senior_cycle_terminal_leaver-secondary_school,taken,43,P
female,104,Senior_cycle_terminal_leaver-secondary_school,taken,18,P
female,87,Senior_cycle_terminal_leaver-secondary_school,taken,18,N
female,85,Senior_cycle_terminal_leaver-secondary_school,taken,37,P
female,102,Junior_cycle_terminal_leaver-vocational_school,not_taken,42,N
female,94,Junior_cycle_terminal_leaver-secondary_school,not_taken,37,P
female,93,Senior_cycle_terminal_leaver-secondary_school,taken,37,P
female,99,3rd_level_complete,taken,37,P
female,103,Senior_cycle_terminal_leaver-secondary_school,taken,38,P
female,89,Junior_cycle_terminal_leaver-secondary_school,not_taken,18,P
female,77,Primary_terminal_leaver,not_taken,?,N
female,92,Junior_cycle_terminal_leaver-vocational_school,not_taken,37,N
female,109,Senior_cycle_terminal_leaver-secondary_school,taken,43,P
female,91,Junior_cycle_terminal_leaver-secondary_school,not_taken,18,P
female,109,Senior_cycle_terminal_leaver-secondary_school,taken,58,P
female,105,Junior_cycle_incomplete-secondary_school,not_taken,57,P
female,105,Senior_cycle_terminal_leaver-secondary_school,taken,18,P
female,90,Junior_cycle_terminal_leaver-secondary_school,not_taken,69,P
female,99,3rd_level_complete,taken,69,P
female,110,Senior_cycle_terminal_leaver-secondary_school,taken,37,P
female,88,Senior_cycle_terminal_leaver-secondary_school,taken,37,P
female,101,Senior_cycle_terminal_leaver-secondary_school,taken,66,P
female,91,Junior_cycle_incomplete-vocational_school,not_taken,18,N
female,78,Senior_cycle_terminal_leaver-secondary_school,taken,18,P
female,118,3rd_level_complete,taken,65,P
female,100,Primary_terminal_leaver,not_taken,28,N
female,100,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,N
female,85,Senior_cycle_terminal_leaver-secondary_school,taken,57,P
female,106,3rd_level_complete,taken,61,P
female,70,Junior_cycle_incomplete-vocational_school,not_taken,?,N
female,97,Junior_cycle_incomplete-vocational_school,not_taken,18,N
female,86,Primary_terminal_leaver,not_taken,?,N
female,92,Junior_cycle_incomplete-vocational_school,not_taken,18,N
female,102,Primary_terminal_leaver,not_taken,38,N
female,86,Junior_cycle_incomplete-vocational_school,not_taken,18,N
female,78,Senior_cycle_terminal_leaver-secondary_school,taken,46,P
female,100,Junior_cycle_incomplete-vocational_school,not_taken,18,N
male,104,Senior_cycle_terminal_leaver-secondary_school,taken,61,P
male,70,Junior_cycle_terminal_leaver-secondary_school,not_taken,31,P
male,107,Senior_cycle_terminal_leaver-secondary_school,taken,75,P
male,114,Senior_cycle_terminal_leaver-secondary_school,taken,37,P
male,103,Junior_cycle_incomplete-vocational_school,not_taken,31,N
male,115,Junior_cycle_terminal_leaver-secondary_school,not_taken,37,P
male,106,Senior_cycle_terminal_leaver-secondary_school,taken,57,P
male,114,Senior_cycle_terminal_leaver-secondary_school,taken,61,P
male,90,Senior_cycle_terminal_leaver-secondary_school,taken,58,P
male,103,Senior_cycle_terminal_leaver-secondary_school,taken,37,P
male,92,Junior_cycle_incomplete-secondary_school,not_taken,58,P
male,113,3rd_level_complete,taken,37,P
male,92,Junior_cycle_terminal_leaver-secondary_school,not_taken,37,P
male,108,3rd_level_complete,taken,37,P
male,96,Junior_cycle_incomplete-secondary_school,not_taken,18,P
male,70,Junior_cycle_incomplete-secondary_school,not_taken,18,P
male,112,Senior_cycle_terminal_leaver-secondary_school,taken,75,P
male,106,Senior_cycle_terminal_leaver-secondary_school,taken,28,P
male,91,Senior_cycle_terminal_leaver-secondary_school,taken,37,P
male,96,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,N
male,70,Primary_terminal_leaver,not_taken,18,N
male,109,Senior_cycle_terminal_leaver-secondary_school,taken,57,P
male,74,Junior_cycle_terminal_leaver-vocational_school,not_taken,37,N
male,99,Junior_cycle_incomplete-secondary_school,not_taken,43,P
male,107,Senior_cycle_terminal_leaver-secondary_school,taken,37,P
male,90,Junior_cycle_terminal_leaver-secondary_school,not_taken,37,P
male,78,Junior_cycle_terminal_leaver-vocational_school,not_taken,31,N
male,70,Primary_terminal_leaver,not_taken,37,N
male,88,Junior_cycle_incomplete-vocational_school,not_taken,58,N
male,93,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,N
male,88,Junior_cycle_incomplete-vocational_school,not_taken,43,N
male,108,Senior_cycle_terminal_leaver-secondary_school,taken,58,P
male,101,3rd_level_complete,taken,57,P
male,98,Junior_cycle_incomplete-vocational_school,not_taken,28,N
male,103,Senior_cycle_terminal_leaver-secondary_school,taken,35,P
male,73,Senior_cycle_terminal_leaver-secondary_school,taken,37,P
male,109,?,not_taken,43,P
male,102,Junior_cycle_terminal_leaver-vocational_school,not_taken,37,N
male,93,Junior_cycle_incomplete-vocational_school,not_taken,37,N
male,93,Junior_cycle_incomplete-vocational_school,not_taken,18,N
male,101,Senior_cycle_terminal_leaver-secondary_school,taken,61,P
male,100,Senior_cycle_incomplete-vocational_school,not_taken,37,N
male,70,Primary_terminal_leaver,not_taken,31,N
male,102,Junior_cycle_incomplete-vocational_school,not_taken,18,N
male,113,Junior_cycle_terminal_leaver-vocational_school,not_taken,28,N
male,91,Junior_cycle_terminal_leaver-secondary_school,not_taken,37,P
male,109,Junior_cycle_terminal_leaver-secondary_school,not_taken,37,P
male,80,Primary_terminal_leaver,not_taken,58,N
male,118,Senior_cycle_terminal_leaver-secondary_school,taken,18,N
male,70,Primary_terminal_leaver,not_taken,58,N
male,88,Junior_cycle_terminal_leaver-vocational_school,not_taken,37,N
male,72,Junior_cycle_terminal_leaver-vocational_school,not_taken,37,N
male,81,Senior_cycle_terminal_leaver-secondary_school,taken,58,P
male,70,Junior_cycle_incomplete-vocational_school,not_taken,37,N
male,97,Junior_cycle_incomplete-vocational_school,not_taken,18,N
male,87,Senior_cycle_terminal_leaver-secondary_school,taken,40,P
male,99,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,N
male,81,Primary_terminal_leaver,not_taken,18,N
male,84,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,N
male,90,Junior_cycle_incomplete-vocational_school,not_taken,58,N
male,95,Senior_cycle_terminal_leaver-secondary_school,taken,37,P
male,84,Junior_cycle_incomplete-vocational_school,not_taken,61,N
male,104,Senior_cycle_incomplete-vocational_school,not_taken,40,N
male,105,Junior_cycle_incomplete-vocational_school,not_taken,31,N
male,107,Junior_cycle_incomplete-secondary_school,not_taken,58,P
male,84,Junior_cycle_incomplete-vocational_school,not_taken,40,N
male,108,Junior_cycle_terminal_leaver-vocational_school,not_taken,?,N
male,70,Senior_cycle_incomplete-vocational_school,not_taken,18,N
male,99,3rd_level_complete,taken,37,P
male,87,Senior_cycle_terminal_leaver-secondary_school,taken,18,P
male,81,Primary_terminal_leaver,not_taken,18,N
male,103,Senior_cycle_terminal_leaver-secondary_school,taken,43,P
male,114,Senior_cycle_terminal_leaver-secondary_school,taken,37,P
male,101,Senior_cycle_terminal_leaver-secondary_school,taken,35,P
male,70,Primary_terminal_leaver,not_taken,58,N
male,70,Junior_cycle_terminal_leaver-vocational_school,not_taken,?,N
male,109,Senior_cycle_terminal_leaver-secondary_school,taken,?,P
male,78,Senior_cycle_terminal_leaver-secondary_school,taken,58,N
male,70,Primary_terminal_leaver,not_taken,37,N
male,70,Junior_cycle_terminal_leaver-vocational_school,not_taken,58,N
male,104,Senior_cycle_terminal_leaver-secondary_school,taken,37,P
male,86,Primary_terminal_leaver,not_taken,18,N
male,99,Junior_cycle_terminal_leaver-vocational_school,not_taken,35,N
male,98,Junior_cycle_terminal_leaver-vocational_school,not_taken,58,N
male,118,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,N
male,76,Junior_cycle_incomplete-vocational_school,not_taken,?,N
male,102,Junior_cycle_incomplete-secondary_school,not_taken,18,P
male,106,Junior_cycle_terminal_leaver-vocational_school,not_taken,37,N
male,108,Junior_cycle_terminal_leaver-vocational_school,not_taken,35,N
male,110,Senior_cycle_incomplete-vocational_school,not_taken,37,N
male,110,Junior_cycle_terminal_leaver-vocational_school,not_taken,37,N
male,89,Senior_cycle_incomplete-vocational_school,not_taken,28,N
male,83,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,N
male,96,Junior_cycle_terminal_leaver-secondary_school,not_taken,37,P
male,113,3rd_level_complete,taken,65,P
male,95,Senior_cycle_terminal_leaver-secondary_school,taken,37,P
male,108,Junior_cycle_terminal_leaver-vocational_school,not_taken,38,N
male,96,Junior_cycle_terminal_leaver-secondary_school,not_taken,28,P
male,79,Senior_cycle_incomplete-secondary_school,not_taken,61,P
female,99,Junior_cycle_terminal_leaver-secondary_school,not_taken,37,P
female,107,3rd_level_complete,taken,37,P
female,94,Junior_cycle_incomplete-vocational_school,not_taken,37,N
female,88,Junior_cycle_terminal_leaver-secondary_school,not_taken,37,P
female,82,Junior_cycle_terminal_leaver-secondary_school,not_taken,57,P
female,100,Senior_cycle_terminal_leaver-secondary_school,taken,57,P
female,102,Senior_cycle_terminal_leaver-secondary_school,taken,40,P
female,111,Senior_cycle_terminal_leaver-secondary_school,taken,58,P
female,111,Senior_cycle_terminal_leaver-secondary_school,taken,57,P
female,94,Primary_terminal_leaver,not_taken,58,N
female,94,Senior_cycle_terminal_leaver-secondary_school,taken,18,P
female,93,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,N
female,90,Senior_cycle_terminal_leaver-secondary_school,taken,58,P
female,84,Junior_cycle_terminal_leaver-secondary_school,not_taken,18,P
female,100,Junior_cycle_terminal_leaver-vocational_school,not_taken,27,N
female,106,Senior_cycle_terminal_leaver-secondary_school,taken,51,P
female,114,3rd_level_incomplete,taken,57,P
female,101,Senior_cycle_terminal_leaver-secondary_school,taken,?,P
female,115,Senior_cycle_terminal_leaver-secondary_school,taken,43,P
female,108,Senior_cycle_terminal_leaver-secondary_school,taken,58,P
female,117,3rd_level_complete,taken,51,P
female,110,Junior_cycle_terminal_leaver-secondary_school,not_taken,28,P
female,93,Senior_cycle_terminal_leaver-secondary_school,taken,43,P
female,114,3rd_level_complete,taken,?,P
female,72,Primary_terminal_leaver,not_taken,?,N
female,116,Senior_cycle_terminal_leaver-secondary_school,taken,?,P
female,117,3rd_level_complete,taken,37,P
female,102,Senior_cycle_terminal_leaver-secondary_school,taken,40,P
female,84,Senior_cycle_terminal_leaver-secondary_school,taken,18,P
female,94,Junior_cycle_incomplete-secondary_school,not_taken,28,P
female,81,Senior_cycle_terminal_leaver-secondary_school,taken,37,P
female,101,Junior_cycle_terminal_leaver-secondary_school,not_taken,18,P
female,91,Senior_cycle_terminal_leaver-secondary_school,taken,37,P
female,93,Senior_cycle_terminal_leaver-secondary_school,taken,38,P
female,116,Senior_cycle_terminal_leaver-secondary_school,taken,18,P
female,90,Senior_cycle_terminal_leaver-secondary_school,taken,57,P
female,115,Senior_cycle_terminal_leaver-secondary_school,taken,35,P
female,89,Primary_terminal_leaver,not_taken,18,N
female,108,3rd_level_complete,taken,37,P
female,100,Senior_cycle_terminal_leaver-secondary_school,taken,18,P
female,86,Junior_cycle_terminal_leaver-vocational_school,not_taken,37,N
female,84,Junior_cycle_terminal_leaver-secondary_school,not_taken,37,P
female,90,Junior_cycle_terminal_leaver-vocational_school,not_taken,37,N
female,103,3rd_level_complete,taken,28,P
female,100,Senior_cycle_terminal_leaver-secondary_school,taken,57,P
female,102,Senior_cycle_terminal_leaver-secondary_school,taken,43,P
female,82,Junior_cycle_terminal_leaver-secondary_school,not_taken,35,P
female,83,Junior_cycle_terminal_leaver-secondary_school,not_taken,37,P
female,113,Senior_cycle_terminal_leaver-secondary_school,taken,37,P
female,117,3rd_level_complete,taken,57,P
female,111,Senior_cycle_terminal_leaver-secondary_school,taken,18,P
female,100,Senior_cycle_terminal_leaver-secondary_school,taken,37,P
female,91,3rd_level_complete,taken,58,P
female,97,Senior_cycle_terminal_leaver-secondary_school,taken,58,P
female,109,3rd_level_incomplete,taken,43,P
female,100,Junior_cycle_incomplete-secondary_school,not_taken,37,P
female,98,Junior_cycle_terminal_leaver-secondary_school,not_taken,37,P
female,85,Senior_cycle_incomplete-secondary_school,not_taken,35,P
female,91,Primary_terminal_leaver,not_taken,18,N
female,85,Junior_cycle_terminal_leaver-secondary_school,not_taken,31,P
female,81,Senior_cycle_terminal_leaver-secondary_school,taken,37,P
female,87,Senior_cycle_terminal_leaver-secondary_school,taken,37,P
female,95,3rd_level_complete,taken,37,P
female,102,Junior_cycle_incomplete-secondary_school,not_taken,37,P
female,94,Primary_terminal_leaver,not_taken,38,N
female,89,Senior_cycle_incomplete-secondary_school,not_taken,37,P
female,112,Junior_cycle_incomplete-vocational_school,not_taken,37,N
female,118,Senior_cycle_terminal_leaver-secondary_school,taken,37,P
female,70,Senior_cycle_incomplete-secondary_school,not_taken,37,P
female,103,3rd_level_complete,taken,37,P
female,90,Senior_cycle_terminal_leaver-secondary_school,taken,37,P
female,97,Senior_cycle_terminal_leaver-secondary_school,taken,37,P
female,104,Senior_cycle_incomplete-vocational_school,not_taken,37,N
female,91,Junior_cycle_incomplete-vocational_school,not_taken,37,N
female,94,Junior_cycle_terminal_leaver-vocational_school,not_taken,37,N
female,107,Junior_cycle_incomplete-secondary_school,not_taken,57,P
female,90,Junior_cycle_incomplete-secondary_school,not_taken,37,P
female,70,Senior_cycle_terminal_leaver-secondary_school,taken,37,P
female,97,Junior_cycle_terminal_leaver-vocational_school,not_taken,37,N
female,104,Junior_cycle_terminal_leaver-secondary_school,not_taken,18,P
female,96,Junior_cycle_terminal_leaver-secondary_school,not_taken,28,P
female,81,Junior_cycle_incomplete-vocational_school,not_taken,18,N
female,114,Senior_cycle_terminal_leaver-secondary_school,taken,28,P
female,106,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,N
female,105,Senior_cycle_terminal_leaver-secondary_school,taken,18,P
female,92,Junior_cycle_incomplete-vocational_school,not_taken,28,N
female,96,Senior_cycle_terminal_leaver-secondary_school,taken,38,P
female,84,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,N
female,89,Junior_cycle_incomplete-vocational_school,not_taken,18,N
female,111,Senior_cycle_terminal_leaver-secondary_school,taken,58,P
female,102,Junior_cycle_terminal_leaver-vocational_school,not_taken,18,N
female,99,Junior_cycle_terminal_leaver-vocational_school,not_taken,37,N
female,104,Junior_cycle_incomplete-secondary_school,not_taken,37,P
female,70,Junior_cycle_terminal_leaver-vocational_school,not_taken,31,N
female,70,Junior_cycle_terminal_leaver-vocational_school,not_taken,35,N
female,90,Junior_cycle_incomplete-vocational_school,not_taken,18,N
female,104,Senior_cycle_terminal_leaver-secondary_school,taken,18,P
female,102,Senior_cycle_terminal_leaver-secondary_school,taken,37,P
female,86,Senior_cycle_terminal_leaver-secondary_school,taken,37,P
female,73,Senior_cycle_terminal_leaver-secondary_school,taken,35,P
female,81,Junior_cycle_terminal_leaver-secondary_school,not_taken,37,P
female,93,Senior_cycle_terminal_leaver-secondary_school,taken,57,P
female,111,Senior_cycle_incomplete-secondary_school,not_taken,37,P
female,104,Junior_cycle_incomplete-secondary_school,not_taken,18,P
female,105,Junior_cycle_terminal_leaver-secondary_school,not_taken,28,P
