@relation data_176

@attribute OBS numeric
@attribute MORPHINE numeric
@attribute DEL9_THC numeric
@attribute REP {1,2}
@attribute SPON_ACT numeric
@attribute TEMP_B numeric
@attribute binaryClass {P,N}

@data
85,2,0,1,159,37.5,N
86,2,0,1,44,38.5,N
87,2,0,1,74,38,N
88,2,0,1,50,39,N
89,2,0,1,137,37.5,N
90,2,0,1,103,38,N
91,2,0,2,65,39,N
92,2,0,2,141,38.5,N
93,2,0,2,55,39,N
94,2,0,2,82,38.5,N
95,2,0,2,108,38.5,N
96,2,0,2,38,39,N
97,2,0.5,1,76,38.5,N
98,2,0.5,1,110,37.5,N
99,2,0.5,1,89,39,N
100,2,0.5,1,110,39,N
101,2,0.5,1,97,38,N
102,2,0.5,1,60,39,N
103,2,0.5,2,109,38,N
104,2,0.5,2,26,39,N
105,2,0.5,2,134,39,N
106,2,0.5,2,50,38.5,N
107,2,0.5,2,151,39.5,N
108,2,0.5,2,69,39,N
109,2,1,1,99,39.5,N
110,2,1,1,44,39.5,N
111,2,1,1,53,37,N
112,2,1,1,247,37.5,N
113,2,1,1,132,39,N
114,2,1,1,137,39,N
115,2,1,2,4,39.5,N
116,2,1,2,62,39,N
117,2,1,2,26,38.5,N
118,2,1,2,63,39,N
119,2,1,2,34,39,N
120,2,1,2,58,39,N
121,2,2.5,1,33,39,N
122,2,2.5,1,76,39,N
123,2,2.5,1,152,38.5,N
124,2,2.5,1,122,39,N
125,2,2.5,1,90,38,N
126,2,2.5,1,90,38.5,N
127,2,2.5,2,79,37.5,N
128,2,2.5,2,20,38.5,P
129,2,2.5,2,0,38,P
130,2,2.5,2,79,37.5,N
131,2,2.5,2,33,37.5,P
132,2,2.5,2,167,38,N
133,2,5,1,42,38.5,P
134,2,5,1,2,39,P
135,2,5,1,0,39,P
136,2,5,1,24,39.5,P
137,2,5,1,24,39,P
138,2,5,1,8,39,N
139,2,5,2,10,37.5,P
140,2,5,2,0,39,P
141,2,5,2,0,38,P
142,2,5,2,0,39,P
143,2,5,2,1,39,P
144,2,5,2,20,38,P
145,2,10,1,5,38.5,P
146,2,10,1,0,38.5,P
147,2,10,1,2,39.5,P
148,2,10,1,9,39,N
149,2,10,1,0,39,P
150,2,10,1,3,39,P
151,2,10,2,19,37.5,P
152,2,10,2,5,39,P
153,2,10,2,17,39,P
154,2,10,2,0,39,P
155,2,10,2,23,38.5,P
156,2,10,2,0,38,P
157,2,15,1,0,38,P
158,2,15,1,3,38.5,P
159,2,15,1,0,36.5,P
160,2,15,1,0,37.5,P
161,2,15,1,0,37.5,P
162,2,15,2,0,38.5,P
163,2,15,2,0,39,P
164,2,15,2,0,39,P
165,2,15,2,0,39,P
166,2,15,2,2,39,P
167,2,15,2,3,39,P
168,4,0,1,82,38,N
169,4,0,1,136,39,N
170,4,0,1,65,39,N
171,4,0,1,146,39,N
172,4,0,1,95,39,N
173,4,0,1,68,39,N
174,4,0,2,41,38.5,N
175,4,0,2,94,39,N
176,4,0,2,112,39,N
177,4,0,2,54,39,N
178,4,0,2,169,37.5,N
179,4,0,2,34,39.5,N
180,4,0.5,1,220,37,N
181,4,0.5,1,151,38,N
182,4,0.5,1,142,38.5,N
183,4,0.5,1,112,38.5,N
184,4,0.5,1,86,38.5,N
185,4,0.5,1,227,39,N
186,4,0.5,2,65,38.5,P
187,4,0.5,2,21,39,N
188,4,0.5,2,164,38.5,N
189,4,0.5,2,44,39,N
190,4,0.5,2,184,38.5,N
191,4,0.5,2,117,38.5,P
192,4,1,1,155,36.5,P
193,4,1,1,44,39,N
194,4,1,1,13,38,N
195,4,1,1,130,38.5,N
196,4,1,1,66,39,N
197,4,1,1,208,38.5,N
198,4,1,2,55,39.5,N
199,4,1,2,163,39.5,N
200,4,1,2,32,39.5,N
201,4,1,2,14,39.5,N
202,4,1,2,38,39.5,N
203,4,1,2,71,39,P
204,4,2.5,1,0,38.5,P
205,4,2.5,1,18,39,N
206,4,2.5,1,302,39,N
207,4,2.5,1,59,39,P
208,4,2.5,1,51,39.5,N
209,4,2.5,1,62,39,N
210,4,2.5,2,71,39,P
211,4,2.5,2,0,38.5,P
212,4,2.5,2,0,39,P
213,4,2.5,2,0,37.5,P
214,4,2.5,2,141,38,N
215,4,2.5,2,255,38.5,N
216,4,5,1,0,38,P
217,4,5,1,61,37,P
218,4,5,1,6,39,P
219,4,5,1,0,39,P
220,4,5,1,6,40,N
221,4,5,1,172,38.5,N
222,4,5,2,232,37.5,N
223,4,5,2,84,37.5,P
224,4,5,2,0,38.5,N
225,4,5,2,202,37.5,P
226,4,5,2,34,38,N
227,4,5,2,3,38.5,P
228,4,10,1,0,38.5,P
229,4,10,1,0,38.5,P
230,4,10,1,2,39,P
231,4,10,1,0,39,N
232,4,10,1,0,39,P
233,4,10,1,0,39,P
234,4,10,2,0,37,P
235,4,10,2,0,37.5,P
236,4,10,2,0,38,P
237,4,10,2,0,38.5,P
238,4,10,2,0,38.5,P
239,4,10,2,0,39,P
240,4,15,1,0,37,P
241,4,15,1,1,37.5,P
242,4,15,1,0,36.5,P
243,4,15,1,0,37.5,P
244,4,15,1,0,36.5,P
245,4,15,1,11,37.5,P
246,4,15,2,1,38.5,P
247,4,15,2,0,39,P
248,4,15,2,103,39,P
249,4,15,2,0,39,P
250,6,0,1,32,38,N
251,6,0,1,48,38.5,N
252,6,0,1,189,39.5,N
253,6,0,1,136,38,N
254,6,0,1,83,38,N
255,6,0,1,160,37,N
256,6,0,2,94,39,N
257,6,0,2,108,39,N
258,6,0,2,108,39,N
259,6,0,2,10,39.5,N
260,6,0,2,37,39,N
261,6,0,2,85,39,N
262,6,0.5,1,178,38.5,N
263,6,0.5,1,168,38.5,N
264,6,0.5,1,102,38.5,N
265,6,0.5,1,91,39.5,N
266,6,0.5,1,209,38.5,N
267,6,0.5,1,133,39,N
268,6,0.5,2,155,39,N
269,6,0.5,2,217,39,N
270,6,0.5,2,102,38.5,N
271,6,0.5,2,144,38.5,N
272,6,0.5,2,63,38.5,N
273,6,0.5,2,191,38.5,N
274,6,1,1,47,39,N
275,6,1,1,124,39,N
276,6,1,1,121,38.5,N
277,6,1,1,221,39,N
278,6,1,1,200,39,N
279,6,1,1,179,38.5,N
280,6,1,2,154,39,N
281,6,1,2,209,39,N
282,6,1,2,148,39,N
283,6,1,2,246,38.5,N
284,6,1,2,0,38.5,P
285,6,1,2,26,39,P
286,6,2.5,1,75,38.5,N
287,6,2.5,1,119,39.5,N
288,6,2.5,1,108,39.5,N
289,6,2.5,1,65,39,N
290,6,2.5,1,1,39.5,P
291,6,2.5,1,217,39,N
292,6,2.5,2,96,39,P
293,6,2.5,2,197,38.5,P
294,6,2.5,2,123,38.5,N
295,6,2.5,2,2,39,P
296,6,2.5,2,67,39,P
297,6,2.5,2,41,39,N
298,6,5,1,98,38.5,N
299,6,5,1,162,39,N
300,6,5,1,42,39,N
301,6,5,1,51,38.5,P
302,6,5,1,45,36,P
303,6,5,2,0,38.5,P
304,6,5,2,2,39,P
305,6,5,2,0,38.5,P
306,6,5,2,0,39,P
307,6,5,2,1,38,P
308,6,5,2,25,39,N
309,6,10,1,0,37,P
310,6,10,1,0,37,P
311,6,10,1,0,36.5,P
312,6,10,1,1,37.5,P
313,6,10,1,3,37,N
314,6,10,1,0,38,P
315,6,10,2,0,38,P
316,6,10,2,0,39,P
317,6,10,2,265,39,P
318,6,10,2,3,38.5,P
319,6,10,2,127,39,P
320,6,10,2,5,39,P
321,6,15,1,2,36,P
322,6,15,1,0,36,P
323,6,15,1,0,37,P
324,6,15,1,0,38,P
325,6,15,1,0,37.5,P
326,6,15,1,0,36.5,P
327,6,15,2,15,38.5,P
328,6,15,2,42,37.5,P
329,6,15,2,3,39,P
330,6,15,2,30,38.5,P
331,6,15,2,16,38,P
332,6,15,2,8,38,P
333,8,0,1,111,37.5,N
334,8,0,1,89,38,N
335,8,0,1,105,38,N
336,8,0,1,181,38.5,N
337,8,0,1,161,38.5,N
338,8,0,1,129,39,N
339,8,0,2,182,39,N
340,8,0,2,126,37,N
341,8,0,2,88,38.5,N
342,8,0,2,160,38.5,N
343,8,0,2,179,38,N
344,8,0,2,113,38.5,N
345,8,0.5,1,119,38,N
346,8,0.5,1,172,38.5,N
347,8,0.5,1,216,38.5,N
348,8,0.5,1,116,38.5,N
349,8,0.5,1,140,39,N
350,8,0.5,1,98,38,N
351,8,0.5,2,146,39,N
352,8,0.5,2,188,37.5,N
353,8,0.5,2,241,38.5,N
354,8,0.5,2,160,38.5,N
355,8,0.5,2,159,38.5,N
356,8,0.5,2,214,38,N
357,8,1,1,221,37.5,N
358,8,1,1,245,38.5,N
359,8,1,1,296,39.5,N
360,8,1,1,119,38,N
361,8,1,1,148,39,N
362,8,1,1,189,38.5,N
363,8,1,2,112,38.5,P
364,8,1,2,125,37.5,P
365,8,1,2,236,38.5,N
366,8,1,2,192,38,N
367,8,1,2,76,39,N
368,8,1,2,42,38,P
369,8,2.5,1,214,39,N
370,8,2.5,1,126,39.5,N
371,8,2.5,1,358,39,N
372,8,2.5,1,330,39,N
373,8,2.5,1,296,39,P
374,8,2.5,1,77,39.5,N
375,8,2.5,2,114,38.5,P
376,8,2.5,2,6,38.5,N
377,8,2.5,2,200,37.5,P
378,8,2.5,2,124,38,P
379,8,2.5,2,0,38,P
380,8,2.5,2,27,37.5,P
381,8,5,1,52,38.5,P
382,8,5,1,215,39,N
383,8,5,1,34,39,P
384,8,5,1,122,39,P
385,8,5,1,269,39,N
386,8,5,1,3,38.5,N
387,8,5,2,65,37.5,P
388,8,5,2,0,36.5,P
389,8,5,2,208,38.5,P
390,8,5,2,0,38.5,N
391,8,5,2,20,38.5,N
392,8,5,2,0,39,P
393,8,10,1,0,36.5,P
394,8,10,1,0,37,N
395,8,10,1,0,37.5,P
396,8,10,1,0,38,N
397,8,10,1,0,37.5,P
398,8,10,1,282,37.5,N
399,8,10,2,3,37.5,P
400,8,10,2,38,37.5,P
401,8,10,2,1,38,P
402,8,10,2,0,38.5,P
403,8,10,2,0,37.5,P
404,8,10,2,0,38,P
405,8,15,1,0,36.5,P
406,8,15,1,0,36,P
407,8,15,1,1,36,P
408,8,15,1,0,37,P
409,8,15,1,0,36.5,P
410,8,15,1,0,37,N
411,8,15,2,77,38.5,P
412,8,15,2,0,38,P
413,8,15,2,0,38.5,P
414,8,15,2,42,39,P
415,8,15,2,15,38,P
416,8,15,2,11,38.5,P
