@relation data_177

@attribute OBS numeric
@attribute REP numeric
@attribute MORPHINE numeric
@attribute DEL9_THC numeric
@attribute FLICK_C numeric
@attribute binaryClass {P,N}

@data
233,2,4,2.5,3,N
234,2,4,2.5,3.1,N
235,2,4,5,2.7,N
236,2,4,5,2.4,N
237,2,4,5,3,N
238,2,4,5,3.6,N
239,2,4,5,3,N
240,2,4,5,2,N
241,2,6,0,2.1,N
242,2,6,0,?,N
243,2,6,0,3.9,N
244,2,6,0,3.3,N
245,2,6,0,3.3,N
246,2,6,0,3,N
247,2,6,0.5,3.2,N
248,2,6,0.5,3.1,N
249,2,6,0.5,2.3,P
250,2,6,0.5,2.4,N
251,2,6,0.5,2.8,P
252,2,6,0.5,3,N
253,2,6,1,3,N
254,2,6,1,3.1,P
255,2,6,1,2.4,P
256,2,6,1,2.6,N
257,2,6,1,3,N
258,2,6,1,3.9,N
259,2,6,2.5,3,N
260,2,6,2.5,3.3,N
261,2,6,2.5,3.9,N
262,2,6,2.5,3.3,N
263,2,6,2.5,2.9,N
264,2,6,2.5,3.3,P
265,2,6,5,3.9,N
266,2,6,5,3.2,N
267,2,6,5,2.8,N
268,2,6,5,2.2,N
269,2,6,5,2.6,N
270,2,6,5,2.6,N
271,2,8,0,2.7,P
272,2,8,0,2.1,N
273,2,8,0,2.7,N
274,2,8,0,3.7,N
275,2,8,0,2.5,N
276,2,8,0,3.2,N
277,2,8,0.5,2.7,N
278,2,8,0.5,3.8,N
279,2,8,0.5,3.8,N
280,2,8,0.5,2.6,N
281,2,8,0.5,?,N
282,2,8,0.5,3,P
283,2,8,1,2.8,N
284,2,8,1,?,N
285,2,8,1,3.1,N
286,2,8,1,2,N
287,2,8,1,2.6,N
288,2,8,1,3,N
289,2,8,2.5,?,N
290,2,8,2.5,3.3,N
291,2,8,2.5,3.9,N
292,2,8,2.5,2.3,N
293,2,8,2.5,3.8,N
294,2,8,2.5,2.7,N
295,2,8,5,3.5,N
296,2,8,5,3.3,N
297,2,8,5,3.9,N
298,2,8,5,2.6,N
299,2,8,5,3,N
300,2,8,5,3.5,N
301,3,0,0,2.5,P
302,3,0,0,2.4,P
303,3,0,0,3,P
304,3,0,0,2.7,P
305,3,0,0,3.8,P
306,3,0,0,3.7,P
307,3,0,0.5,2.9,N
308,3,0,0.5,3.5,N
309,3,0,0.5,3.3,P
310,3,0,0.5,3.9,N
311,3,0,0.5,3.9,P
312,3,0,0.5,3.1,P
313,3,0,1,3,P
314,3,0,1,2.7,P
315,3,0,1,2.4,P
316,3,0,1,2.6,P
317,3,0,1,3,P
318,3,0,1,2.6,P
319,3,0,2.5,2.9,P
320,3,0,2.5,2.5,P
321,3,0,2.5,2.6,P
322,3,0,2.5,3.4,P
323,3,0,2.5,3.7,P
324,3,0,2.5,3,N
325,3,0,5,3.2,N
326,3,0,5,3.6,N
327,3,0,5,3.5,N
328,3,0,5,2.9,N
329,3,0,5,2.9,N
330,3,0,5,2,P
331,3,0,10,3.8,N
332,3,0,10,2.6,P
333,3,0,10,3.9,N
334,3,0,10,3.2,N
335,3,0,10,2.4,N
336,3,0,10,3,N
337,3,0,15,2.3,N
338,3,0,15,2.3,N
339,3,0,15,2.8,N
340,3,0,15,2.9,N
341,3,0,15,3.2,N
342,3,0,15,3.9,N
343,3,2,0,3.8,P
344,3,2,0,3,P
345,3,2,0,2,P
346,3,2,0,2.7,N
347,3,2,0,2.6,N
348,3,2,0,2,P
349,3,2,0.5,3.9,N
350,3,2,0.5,2,N
351,3,2,0.5,2.2,N
352,3,2,0.5,3,N
353,3,2,0.5,2.7,P
354,3,2,0.5,3.9,N
355,3,2,1,3,N
356,3,2,1,2.7,P
357,3,2,1,3.5,N
358,3,2,1,2.8,P
359,3,2,1,3,P
360,3,2,1,2.1,P
361,3,2,2.5,2.3,P
362,3,2,2.5,2.9,P
363,3,2,2.5,2.5,P
364,3,2,2.5,2.4,N
365,3,2,2.5,3.1,P
366,3,2,2.5,3.3,N
367,3,2,5,2,N
368,3,2,5,2.7,N
369,3,2,5,3.2,N
370,3,2,5,3.5,N
371,3,2,5,3.4,N
372,3,2,5,2,P
373,3,2,10,2.7,N
374,3,2,10,2.9,N
375,3,2,10,3,N
376,3,2,10,3.6,N
377,3,2,10,2.1,N
378,3,2,10,2.5,N
379,3,2,15,3.9,N
380,3,2,15,3,N
381,3,2,15,3.8,N
382,3,2,15,2.1,N
383,3,2,15,3.7,N
384,3,2,15,2.7,N
385,3,4,0,2.8,N
386,3,4,0,3.8,P
387,3,4,0,2.4,N
388,3,4,0,2.3,P
389,3,4,0,2.6,N
390,3,4,0,2.2,P
391,3,4,0.5,3.8,N
392,3,4,0.5,3.7,N
393,3,4,0.5,2.7,P
394,3,4,0.5,2.5,N
395,3,4,0.5,2.8,N
396,3,4,0.5,2.8,N
397,3,4,1,2.8,N
398,3,4,1,2,N
399,3,4,1,2,N
400,3,4,1,2.2,N
401,3,4,1,2.4,N
402,3,4,1,3.1,N
403,3,4,2.5,3.9,N
404,3,4,2.5,3.3,N
405,3,4,2.5,3.6,N
406,3,4,2.5,2.3,N
407,3,4,2.5,2.7,N
408,3,4,2.5,2.8,N
409,3,4,5,3.3,N
410,3,4,5,2.8,P
411,3,4,5,2.8,N
412,3,4,5,3.9,N
413,3,4,5,3.2,N
414,3,4,5,2.6,N
415,3,4,10,3.2,N
416,3,4,10,2.3,N
417,3,4,10,3.1,N
418,3,4,10,2.4,N
419,3,4,10,2.7,N
420,3,4,10,3.8,N
421,3,4,15,2.4,N
422,3,4,15,2.9,N
423,3,4,15,3.9,N
424,3,4,15,3.7,N
425,3,4,15,2.6,N
426,3,4,15,3.4,N
427,3,6,0,2.3,P
428,3,6,0,3.3,N
429,3,6,0,2.2,N
430,3,6,0,3.4,N
431,3,6,0,2.7,N
432,3,6,0,2.1,N
433,3,6,0.5,3.1,N
434,3,6,0.5,2.5,N
435,3,6,0.5,2.4,N
436,3,6,0.5,2.2,N
437,3,6,0.5,2.1,N
438,3,6,0.5,2.5,N
439,3,6,1,3.4,N
440,3,6,1,3.3,N
441,3,6,1,2,N
442,3,6,1,3.3,N
443,3,6,1,2.7,N
444,3,6,1,2.5,N
445,3,6,2.5,2.6,N
446,3,6,2.5,2.8,N
447,3,6,2.5,3.1,N
448,3,6,2.5,3.4,N
449,3,6,2.5,3.1,N
450,3,6,2.5,2.8,N
451,3,6,5,3.2,N
452,3,6,5,2.6,N
453,3,6,5,2,N
454,3,6,5,3.8,N
455,3,6,5,3.2,N
456,3,6,5,2.8,N
457,3,6,10,3.8,N
458,3,6,10,3.2,N
459,3,6,10,2.6,N
460,3,6,10,2.3,N
461,3,6,10,2.5,N
462,3,6,10,3.8,N
463,3,6,15,2.1,N
464,3,6,15,3.7,N
465,3,6,15,2.8,N
466,3,6,15,2.9,N
467,3,6,15,3.6,N
468,3,6,15,3.6,N
469,3,8,0,2.7,N
470,3,8,0,3.1,N
471,3,8,0,2.9,N
472,3,8,0,3,N
473,3,8,0,3.3,N
474,3,8,0,3,N
475,3,8,0.5,2,N
476,3,8,0.5,2,N
477,3,8,0.5,3.5,N
478,3,8,0.5,2,N
479,3,8,0.5,2.4,N
480,3,8,0.5,3.8,N
481,3,8,1,3.3,N
482,3,8,1,2.4,N
483,3,8,1,2.4,N
484,3,8,1,2,N
485,3,8,1,3,N
486,3,8,1,2.3,N
487,3,8,2.5,2.8,N
488,3,8,2.5,2.4,N
489,3,8,2.5,3.1,N
490,3,8,2.5,2,N
491,3,8,2.5,3,N
492,3,8,2.5,3.6,N
493,3,8,5,3.2,N
494,3,8,5,3.7,N
495,3,8,5,3.3,N
496,3,8,5,3.5,N
497,3,8,5,3,N
498,3,8,5,3.2,N
499,3,8,10,2.4,N
500,3,8,10,2,N
501,3,8,10,3.6,N
502,3,8,10,2.8,N
503,3,8,10,3.4,N
504,3,8,10,2.7,N
505,3,8,15,3.2,N
506,3,8,15,3.5,N
507,3,8,15,3.8,N
508,3,8,15,3.5,N
509,3,8,15,2.8,N
510,3,8,15,3.9,N
