@relation data_159

@attribute idno numeric
@attribute y numeric
@attribute w numeric
@attribute x1 {0,1}
@attribute x2 {0,1}
@attribute x3 {0,1}
@attribute z1 {0,1}
@attribute z2 {0,1}
@attribute z3 {0,1}
@attribute z4 {0,1}
@attribute z5 {0,1}
@attribute z6 numeric
@attribute z7 {0,1}
@attribute z8 numeric
@attribute binaryClass {P,N}

@data
10593,0,0.751,0,1,0,1,1,0,0,0,5,1,-1.9,P
10594,1,2.369,0,0,1,0,0,0,0,0,7,0,0.8,N
10595,2,1.681,0,0,0,0,0,0,1,1,4,0,-0.3,P
10596,2,1.146,0,0,1,0,0,0,0,0,10,0,-2.9,N
10603,2,1.777,0,1,0,0,0,0,0,0,8,0,0.7,P
10604,1,1.214,0,1,0,0,0,0,0,0,12,0,-1.3,P
10606,2,1.185,0,1,0,0,0,0,1,0,11,0,1.4,P
10607,1,0.913,0,0,0,1,0,1,0,0,8,1,-1.4,P
10609,2,0.791,0,0,0,1,0,0,0,0,11,0,-2,N
10614,2,0.751,0,0,0,1,1,0,0,0,10,1,-2.3,N
10619,1,0.395,0,0,0,1,0,0,0,0,12,0,-1.9,N
10627,2,2.634,0,1,0,0,0,0,1,1,12,1,1.5,N
10628,2,1.999,0,1,0,0,0,0,0,0,11,1,-2.8,N
10629,1,1.185,0,0,1,0,0,0,0,0,9,0,1.4,P
10634,2,0.81,0,0,1,0,0,0,0,0,9,0,-1.5,P
10636,2,1.999,0,1,0,0,0,0,0,0,10,1,-3,N
10638,1,0.405,0,0,0,0,0,0,0,0,10,0,-1,N
10639,2,0.395,0,1,0,0,0,0,0,0,9,0,-2,P
10641,1,1.911,0,0,0,0,0,0,0,0,6,0,-2.7,P
10643,2,0.376,0,0,0,1,0,0,0,0,10,1,-2,P
10648,2,0.405,0,0,0,0,1,0,0,0,6,0,-1.4,N
10655,2,1.2,0,1,0,1,0,0,1,0,9,1,0.9,P
10658,2,1.127,0,1,0,0,0,0,0,0,7,1,-2.2,N
10661,2,0.791,0,0,0,0,0,0,0,0,10,0,-1.9,P
10663,2,2.241,0,1,0,0,0,0,0,0,8,0,0.1,P
10666,2,0.791,0,0,0,0,1,0,0,0,8,0,-2.2,N
10669,2,0.376,0,0,1,0,1,0,0,0,3,1,-2,P
10672,2,1.784,0,1,0,0,0,0,1,0,8,1,0.2,N
10674,2,0.592,0,0,1,0,0,0,0,0,12,0,1.3,P
10677,2,0.81,0,0,0,0,0,0,0,0,5,0,-0.6,P
10678,2,0.899,0,0,1,0,0,0,0,0,7,0,2.3,N
10679,2,1.8,0,1,0,0,1,0,0,0,2,1,0.8,N
10681,2,1.317,0,0,1,0,0,0,1,0,9,1,1.7,N
10683,2,0.395,0,0,0,1,1,0,0,0,7,0,-1.8,P
10685,2,0.456,0,0,0,1,1,0,0,0,10,1,-0.8,N
10688,2,2.281,0,0,0,0,0,0,1,1,4,1,-1.5,P
10690,2,0.395,0,1,0,1,0,1,0,0,10,0,-2.1,N
10691,2,1.214,0,1,0,0,1,0,0,0,3,0,-1.1,P
10693,2,0.405,0,1,0,0,0,0,0,0,9,0,-1,N
10694,1,1.127,0,1,0,0,0,0,0,0,8,1,-2.1,P
10704,0,0.405,0,0,1,1,1,0,0,0,8,0,-1.1,N
10709,2,0.899,0,0,1,1,1,0,0,0,1,0,3,P
10711,2,0.659,0,0,1,1,0,0,1,0,9,1,2.3,N
10712,2,0.751,0,0,0,1,1,0,0,0,8,1,-2.3,N
10713,2,0.456,0,0,0,1,0,0,0,0,10,1,-1.4,N
10716,0,0.456,0,1,0,1,1,0,0,0,7,1,-1,N
10718,2,0.376,0,0,0,1,0,0,0,0,9,1,-1.7,N
10723,2,0.764,0,0,0,1,1,0,0,0,9,0,-3.1,P
10727,2,1.317,0,0,0,0,1,0,0,0,5,1,2.2,P
10730,1,0.56,0,1,0,0,0,0,1,0,3,0,0.2,N
10731,2,1.681,0,1,0,0,0,0,0,0,10,0,0.1,P
10734,2,1.317,0,0,1,0,1,0,0,0,4,1,2.2,N
10743,2,0.913,0,0,0,0,0,0,1,0,8,1,-0.7,P
10746,2,1.2,0,1,0,0,1,0,0,0,6,1,0.8,P
10748,2,0.764,0,0,0,0,0,0,0,0,9,0,-2.6,N
10750,2,0.751,0,0,1,0,0,0,0,0,9,1,-2.2,P
10751,2,0.791,0,1,0,0,0,0,0,0,9,0,-2,P
10753,1,1.317,0,0,1,0,0,0,1,0,6,1,2.8,N
10754,2,0.791,0,1,0,0,0,0,1,0,12,0,-2.3,P
10758,2,0.899,0,0,1,0,0,0,0,0,10,0,2.1,P
10764,2,2.999,0,1,0,0,0,0,0,0,4,1,-2.7,N
10765,1,0.791,0,1,0,0,0,0,1,0,8,0,-1.6,P
10769,1,0.791,0,1,0,0,0,0,1,0,9,0,-2,P
10770,2,0.751,0,1,0,0,0,0,0,0,9,1,-1.9,N
10771,2,0.751,0,1,0,0,0,0,0,0,10,1,-1.9,N
10774,2,1.2,0,1,0,0,1,0,0,0,6,1,1.3,N
10775,2,1.681,0,0,1,0,0,0,0,0,12,0,0,P
10776,2,0.751,0,0,0,0,0,0,1,0,6,1,-1.8,P
10777,2,0.592,0,0,1,0,0,0,0,0,7,0,0.7,P
10778,1,1.214,0,0,1,0,0,0,0,0,9,0,-0.7,P
10780,1,0.913,0,0,0,0,0,0,0,0,9,1,-0.6,N
10784,2,0.751,0,0,0,1,0,0,1,0,9,1,-2.1,N
10796,2,0.81,0,0,1,0,0,0,1,0,11,0,-0.9,N
10797,1,1.2,0,0,1,0,1,0,0,0,9,1,0.8,P
10799,1,0.405,0,0,0,0,0,0,0,0,11,0,-0.9,P
10801,1,0.791,0,0,0,0,1,0,0,0,10,0,-2.1,P
10802,2,0.751,0,0,1,0,0,0,1,0,10,1,-1.8,P
10803,0,0.405,0,1,0,0,1,0,0,0,3,0,-0.8,N
10804,2,1.784,0,1,0,0,0,0,0,0,7,1,-0.5,N
10806,2,1.499,0,1,0,0,0,0,0,0,7,1,-3.1,P
10808,0,0.751,0,1,0,0,1,0,0,0,8,1,-1.9,N
10809,0,1.317,0,0,1,0,1,0,0,0,7,1,1.9,N
10811,2,1.499,0,1,0,0,1,0,0,0,7,1,-3.1,P
10815,2,0.791,0,0,1,1,1,0,0,0,8,0,-1.8,N
10817,1,0.751,0,0,0,1,0,1,0,0,5,1,-2.2,N
10818,2,1.825,0,1,0,0,1,0,0,0,8,1,-1,P
10820,2,0.751,0,1,0,0,1,0,0,0,12,1,-2.4,N
10821,2,0.405,0,0,0,0,0,0,0,0,9,0,-1.2,N
10822,1,1.8,0,0,1,0,1,0,0,0,8,1,0.8,P
10825,2,0.659,0,0,1,1,0,1,0,0,6,1,1.8,P
10826,1,1.186,0,0,0,1,1,0,0,0,8,0,-2.3,P
10829,2,1.798,0,0,1,1,0,0,1,1,5,0,2,N
10837,2,0.913,0,0,0,0,0,0,1,0,8,1,-1.2,N
10838,2,0.764,0,1,0,0,0,0,0,0,7,0,-2.8,N
10840,2,0.764,0,1,0,0,1,0,0,0,9,0,-2.9,P
10842,1,0.913,0,0,0,0,0,0,0,0,6,1,-0.8,P
10851,2,0.376,0,1,0,1,0,0,0,0,10,1,-2.1,N
10852,1,1.581,0,0,1,1,0,0,0,0,8,0,-1.6,P
10853,2,1.121,0,0,0,1,1,0,0,0,6,0,0.1,P
10856,1,2.372,0,0,0,1,1,0,0,0,10,0,-2.4,P
10858,2,0.376,0,1,0,1,0,0,0,0,9,1,-2,N
10870,2,1.317,0,1,0,0,1,0,0,0,5,1,1.5,P
10874,1,1.2,0,1,0,0,0,0,1,0,6,1,1.4,N
10875,2,0.81,0,1,0,0,0,0,0,0,8,0,-1.2,N
10876,2,0.913,0,1,0,0,0,0,1,0,5,1,-1,N
10877,2,0.395,0,1,0,0,0,0,1,0,8,0,-2.3,N
10878,0,0.376,0,0,0,0,1,0,0,0,3,1,-1.8,P
10879,0,0.751,0,1,0,0,1,0,0,0,9,1,-2.3,N
10880,0,2.4,0,1,0,1,1,0,0,0,7,1,0.8,P
10887,1,0.791,0,0,0,0,0,0,0,0,10,0,-2.3,N
10889,2,0.659,0,0,1,0,1,0,0,0,6,1,1.8,P
10895,2,0.791,0,1,0,1,0,1,0,0,6,0,-2.4,N
10898,2,0.395,0,0,0,0,0,0,1,0,8,0,-2.2,N
10900,2,0.791,0,0,0,1,0,0,0,0,10,0,-1.9,N
10902,2,2.378,0,1,0,1,1,0,0,0,4,1,0.1,N
10903,2,1.127,0,1,0,0,1,0,0,0,6,1,-2.1,P
10906,1,1.681,0,1,0,0,0,0,0,0,9,0,0.1,P
10910,2,0.751,0,1,0,0,1,0,0,0,9,1,-1.7,N
10912,0,0.764,0,1,0,0,1,0,0,0,8,0,-2.6,P
10917,2,0.751,0,1,0,0,1,0,0,0,11,1,-2.3,P
10918,1,0.81,0,0,0,0,0,0,0,0,12,0,-1.1,N
10919,2,0.405,0,1,0,0,1,0,0,0,8,0,-1,N
10922,1,0.764,0,1,0,0,1,0,0,0,10,0,-3.1,P
10923,2,1.502,0,1,0,0,0,0,1,1,11,1,-1.9,P
10926,0,0.6,0,0,0,0,1,0,0,0,11,1,0.6,N
10928,2,1.189,0,1,0,1,0,0,0,0,2,1,0.4,P
10929,2,0.81,0,0,0,1,0,0,0,0,11,0,-1.5,N
10931,2,1,0,0,0,0,0,0,0,0,11,1,-3,N
10934,2,0.592,0,0,1,0,0,0,0,0,10,0,1.3,P
10937,2,0.81,0,0,1,1,1,0,0,0,6,0,-1.3,N
10938,2,0.81,0,0,1,0,0,0,0,0,8,0,-0.9,P
10939,2,0.913,0,1,0,0,1,0,0,0,8,1,-0.8,N
10945,2,0.456,0,0,0,1,1,0,0,0,7,1,-1.2,P
10953,2,0.395,0,0,0,0,0,1,0,0,7,0,-1.8,N
10954,1,0.456,0,0,0,1,0,0,0,0,9,1,-0.6,N
10955,1,1.121,0,0,0,1,0,0,0,0,5,0,-0.5,P
10957,2,0.376,0,0,0,1,0,0,0,0,7,1,-2.5,P
10958,1,0.56,0,0,0,1,0,0,0,0,8,0,-0.2,N
10960,2,0.6,0,0,0,1,0,0,1,1,0,1,0.8,N
10961,2,0.81,0,1,0,1,0,0,1,0,8,0,-1.5,N
10964,2,1.2,0,0,0,0,0,0,1,0,4,1,1,P
10972,1,0.791,0,0,0,0,0,0,0,0,8,0,-1.7,N
10973,2,2.499,0,0,1,0,0,0,0,0,8,1,-2.8,N
10978,2,1.317,0,0,1,0,0,0,1,0,0,1,3.6,P
10981,2,0.899,0,0,1,0,0,0,0,0,8,0,2.1,P
10983,2,0.81,0,0,1,0,0,0,0,0,8,0,-0.6,N
10986,1,0.899,0,0,1,0,0,1,0,0,10,0,3,P
10988,2,0.913,0,0,0,0,1,0,0,0,9,1,-1.3,N
10989,2,1.185,0,0,0,0,0,0,1,0,9,0,0.5,N
10992,2,1.8,0,1,0,0,0,0,1,1,9,1,0.8,P
10994,2,0.56,0,1,0,0,1,0,0,0,0,0,0.1,P
10997,2,0.456,0,0,0,0,0,0,0,0,11,1,-1.4,N
10999,2,1.189,0,0,0,0,1,0,0,0,6,1,-0.2,P
11000,1,0.764,0,1,0,0,1,0,0,0,11,0,-2.7,N
11004,2,0.913,0,0,0,0,1,0,0,0,4,1,-1.4,P
11005,2,1.186,0,1,0,0,1,0,0,0,10,0,-2.5,P
11006,2,1.499,0,1,0,0,1,0,0,0,8,1,-3.1,P
11007,2,0.376,0,1,0,0,0,1,0,0,9,1,-2.4,P
11011,2,0.791,0,0,0,0,0,0,1,0,10,0,-2.1,N
11012,2,2.241,0,0,0,0,0,0,0,0,9,0,-0.4,N
11014,2,1.189,0,1,0,0,0,0,0,0,8,1,-0.4,P
11023,1,0.913,0,1,0,0,0,0,0,0,7,1,-0.8,N
11034,2,0.382,0,0,0,1,0,1,0,0,10,0,-3.1,P
11037,2,0.791,0,1,0,0,0,0,1,0,9,0,-1.8,P
11044,2,1.185,0,0,1,0,0,0,0,0,1,0,1,P
11048,1,0.791,0,1,0,0,0,0,0,0,7,0,-2.4,P
11050,1,0.395,0,1,0,0,0,1,0,0,9,0,-2.1,P
11054,0,1.127,0,1,0,0,1,0,0,0,7,1,-2.3,P
11055,2,1.127,0,1,0,0,1,0,0,0,10,1,-2.2,P
11057,2,1.121,0,0,1,1,0,0,0,0,10,0,-0.3,P
11059,2,1.798,0,0,1,1,0,0,0,0,4,0,2.9,P
11062,2,0.405,0,0,0,0,1,0,0,0,7,0,-1.5,N
11065,2,0.395,0,0,0,1,0,0,0,0,9,0,-2,N
11069,0,1.127,0,0,0,1,0,0,0,0,9,1,-2.2,N
11070,2,1.185,0,0,1,1,0,0,1,0,10,0,1.4,P
11074,2,1.121,0,1,0,1,0,0,0,0,7,0,0.1,N
11075,2,1.189,0,0,0,1,0,0,1,0,10,1,0.3,N
11082,2,0.56,0,0,1,0,0,0,1,1,12,0,0.3,P
11088,2,1.369,0,0,0,0,1,0,0,0,5,1,-1.1,P
11092,2,1.317,0,0,1,1,0,1,0,0,10,1,2.2,P
11093,2,0.456,0,0,0,1,1,0,0,0,7,1,-1.4,N
11096,2,0.751,0,0,0,1,0,0,0,0,8,1,-1.9,N
11101,2,1.214,0,1,0,1,0,0,1,0,9,0,-1.4,N
11109,1,0.376,0,0,0,1,0,0,0,0,9,1,-2.5,N
11110,1,0.592,0,0,1,0,0,0,1,0,11,0,1.3,N
11112,2,1.127,0,1,0,0,1,0,0,0,7,1,-1.9,P
11114,2,1.146,0,1,0,0,0,0,0,0,6,0,-3.1,P
11119,2,0.456,0,1,0,0,0,0,0,0,6,1,-1.2,N
11120,1,1.976,0,1,0,0,0,0,1,0,9,1,1.5,N
11121,2,0.913,0,0,0,0,0,0,1,0,6,1,-1.1,N
11122,1,1.777,0,0,1,1,0,0,0,0,10,0,0.6,P
11123,2,0.791,0,1,0,0,0,0,1,1,6,0,-2,P
11124,0,0.791,0,0,0,1,1,0,0,0,5,0,-2.2,P
11125,1,0.913,0,0,0,1,0,0,0,0,2,1,-1.4,N
11127,0,0.395,0,0,0,0,1,0,0,0,7,0,-1.8,N
11131,2,1.2,0,0,1,0,0,0,1,0,10,1,1.2,N
11138,2,0.791,0,0,0,0,1,0,0,0,8,0,-1.8,N
11139,2,0.81,0,0,0,0,1,0,0,0,10,0,-1.5,N
11140,2,0.81,0,1,0,0,1,0,0,0,9,0,-1.1,P
11141,2,0.6,0,0,0,0,1,0,0,0,3,1,1.1,P
11143,2,0.376,0,0,0,0,0,1,0,0,12,1,-1.8,N
11144,2,0.751,0,1,0,0,0,0,1,0,6,1,-2,N
11149,2,1.499,0,1,0,0,1,0,0,0,7,1,-2.6,P
11150,2,1.317,0,0,1,0,0,0,1,1,10,1,1.5,P
11151,2,1.784,0,1,0,0,0,0,1,1,0,1,0.1,P
11153,2,0.81,0,1,0,0,0,0,0,0,12,0,-0.8,P
11155,2,0.81,0,0,1,0,1,0,0,0,11,0,-1.2,P
11159,2,0.659,0,0,1,0,0,1,0,0,6,1,1.7,P
11163,2,1.798,0,0,1,0,0,0,0,0,7,0,1.6,N
11166,2,1.186,0,1,0,0,0,0,0,0,10,0,-1.9,N
11167,2,0.405,0,1,0,1,0,0,0,0,8,0,-1,N
11168,2,0.376,0,1,0,1,0,0,0,0,10,1,-1.6,N
11170,1,0.764,0,1,0,0,0,0,1,0,9,0,-2.6,P
11172,1,0.592,0,1,0,1,1,0,0,0,8,0,1,P
11174,2,0.751,0,0,0,0,1,0,0,0,5,1,-1.9,N
11180,2,1.121,0,0,1,0,0,0,1,1,5,0,0,P
11194,1,0.81,0,0,0,1,0,0,1,0,10,0,-1.3,P
11196,2,0.405,0,0,0,1,0,0,1,1,12,0,-0.6,P
11199,2,0.6,0,0,0,1,0,1,0,0,10,1,1.4,N
11200,2,1.189,0,0,0,1,1,0,0,0,3,1,-0.5,N
11208,2,0.592,0,0,0,1,0,0,0,0,8,0,0.6,N
11211,2,0.791,0,0,0,0,1,0,0,0,5,0,-1.8,P
11212,2,0.913,0,1,0,0,0,0,0,0,9,1,-1.3,N
11216,1,1.976,0,0,0,0,0,0,0,0,5,1,1.6,N
11217,2,1.369,0,1,0,0,0,0,0,0,8,1,-1.3,N
11220,2,1.214,0,0,0,0,0,0,0,0,7,0,-0.8,N
11222,1,0.376,0,1,0,0,0,1,0,0,8,1,-1.8,P
11224,2,1.121,0,1,0,0,0,0,0,0,10,0,0.3,P
11225,2,1.777,0,0,0,0,0,0,0,0,8,0,0.5,P
11230,2,1.146,0,0,1,0,0,0,0,0,10,0,-2.9,N
11233,1,1.777,0,1,0,0,0,0,0,0,8,0,0.5,P
11236,2,4.494,0,0,1,0,0,0,0,0,6,0,1.8,P
11240,2,1.798,0,0,1,0,0,0,1,0,10,0,3.1,P
11243,2,0.913,0,0,0,0,1,0,0,0,10,1,-0.8,N
11245,2,1.214,0,1,0,0,0,0,0,0,10,0,-1,N
11248,1,0.81,0,1,0,0,0,0,0,0,7,0,-1.4,P
11252,2,1.8,0,1,0,0,0,0,1,1,9,1,0.6,N
11253,2,0.81,0,0,1,0,1,0,0,0,11,0,-1.4,P
11257,1,1.121,0,0,1,0,0,0,1,0,6,0,-0.1,P
11261,2,1.798,0,0,1,0,0,0,1,1,5,0,1.5,P
11263,2,1.186,0,1,0,0,1,0,0,0,8,0,-2,N
11264,2,0.81,0,1,0,0,1,0,0,0,8,0,-0.7,P
11270,2,1.189,0,0,0,1,1,0,0,0,5,1,-0.2,P
11279,2,1.528,0,1,0,0,0,0,1,0,5,0,-2.9,N
11283,2,0.395,0,0,0,0,0,0,0,0,8,0,-1.9,N
11284,2,1.121,0,1,0,0,0,0,0,0,7,0,-0.4,P
11287,0,0.791,0,0,1,0,0,0,0,0,7,0,-2.5,P
11288,1,0.395,0,1,0,0,0,1,0,0,10,0,-2.5,N
11289,2,0.56,0,1,0,0,0,0,0,0,9,0,-0.2,P
11290,2,2.499,0,1,0,0,1,0,0,0,7,1,-3.1,P
11292,1,2.499,0,1,0,0,0,0,0,0,9,1,-3.2,P
11294,2,0.751,0,1,0,0,0,0,1,0,9,1,-2.2,N
11295,1,0.81,0,0,1,0,1,0,0,0,5,0,-1.5,N
11302,2,0.56,0,1,0,0,0,0,1,0,10,0,-0.4,P
11303,0,1.681,0,0,0,1,1,0,0,0,3,0,0,P
11307,1,0.395,0,0,0,1,0,0,0,0,12,0,-2.1,N
11310,1,0.913,0,0,0,1,0,0,1,0,8,1,-1.2,P
11319,1,0.899,0,0,1,1,0,0,0,0,7,0,2.5,P
11322,2,1.214,0,0,0,0,0,0,0,0,7,0,-1.2,N
11323,2,1.976,0,1,0,0,0,0,0,0,4,0,-2.2,N
11324,2,1.121,0,0,1,0,1,0,0,0,1,0,0.3,N
11327,2,1.2,0,0,0,0,0,0,0,0,8,1,1.4,N
11333,1,0.81,0,0,0,1,0,1,0,0,9,0,-0.8,P
11334,1,0.395,0,0,0,1,0,0,0,0,6,0,-2.2,P
11338,1,0.592,0,0,0,1,0,0,0,0,12,0,1.3,P
11340,2,1.798,0,0,1,1,0,0,0,0,10,0,2,P
11343,2,1,0,0,0,1,0,0,0,0,7,1,-2.6,N
11346,1,0.405,0,0,0,1,0,0,1,0,10,0,-0.8,N
11352,2,1.189,0,0,0,0,1,0,0,0,7,1,-0.5,N
11353,2,1.127,0,1,0,0,0,0,0,0,9,1,-2.3,N
11357,1,1.186,0,0,1,0,0,0,0,0,9,0,-1.6,N
11358,1,1.798,0,0,1,0,0,0,0,0,8,0,2.1,P
11359,2,0.791,0,0,1,1,1,0,0,0,7,0,-1.7,N
11363,1,0.6,0,1,0,0,0,0,0,0,8,1,0.5,P
11364,2,0.595,0,1,0,0,1,0,0,0,1,1,-0.1,P
11365,1,1.146,0,0,1,0,0,0,0,0,10,0,-3.1,P
11366,2,0.764,0,0,0,0,0,0,0,0,8,0,-2.6,N
11368,2,0.764,0,0,0,1,1,0,0,0,9,0,-3,P
11369,1,0.395,0,1,0,0,0,0,0,0,7,0,-2.1,N
11371,2,0.376,0,0,0,0,0,0,1,1,10,1,-1.8,N
11373,2,1.121,0,1,0,0,0,0,1,1,10,0,-0.5,P
11379,2,1.127,0,0,0,0,0,0,0,0,6,1,-2.5,N
11380,2,0.81,0,0,0,1,0,0,0,0,9,0,-1.4,P
11383,2,0.899,0,0,1,0,0,0,0,0,9,0,1.6,N
11390,1,0.764,0,0,0,0,0,0,0,0,10,0,-2.8,P
11391,2,1.146,0,1,0,0,0,0,0,0,7,0,-3,P
